model,phase,attack_type,attack,round,clean_test_acc,clean_acc_evalsubset,adv_acc_evalsubset,acc_drop_evalsubset,attack_success_rate,train_poison_rate,train_adv_augmented,eval_attack_samples,poison_meta
NeuralNet,poisoned,poison+evasion,LabelFlip(0.2) + ZOO,0,0.9411764705882353,0.94,0.485,0.45499999999999996,0.48404255319148937,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
NeuralNet,advtrain,evasion,HSJ,0,0.9576470588235294,0.96,0.04,0.9199999999999999,1.0,0.0,0,200,
NeuralNet,advtrain,evasion,Boundary,0,0.9576470588235294,,,,,0.0,0,200,
NeuralNet,advtrain,evasion,ZOO,0,0.9576470588235294,0.96,0.37,0.59,0.6145833333333334,0.0,0,200,
NeuralNet,advtrain,evasion,HSJ,1,0.9552941176470588,0.955,0.045,0.9099999999999999,1.0,0.0,500,200,
NeuralNet,advtrain,evasion,Boundary,1,0.9552941176470588,,,,,0.0,500,200,
NeuralNet,advtrain,evasion,ZOO,1,0.9552941176470588,0.955,0.45,0.5049999999999999,0.5287958115183246,0.0,500,200,
NeuralNet,advtrain,evasion,HSJ,2,0.96,0.955,0.195,0.76,0.8429319371727748,0.0,1000,200,
NeuralNet,advtrain,evasion,Boundary,2,0.96,,,,,0.0,1000,200,
NeuralNet,advtrain,evasion,ZOO,2,0.96,0.955,0.49,0.46499999999999997,0.4869109947643979,0.0,1000,200,
RandomForest,baseline,evasion,HSJ,0,0.9505882352941176,0.945,0.71,0.235,0.25396825396825395,0.0,0,200,
RandomForest,baseline,evasion,Boundary,0,0.9505882352941176,0.945,0.785,0.15999999999999992,0.1746031746031746,0.0,0,200,
RandomForest,baseline,evasion,ZOO,0,0.9505882352941176,0.945,0.92,0.02499999999999991,0.026455026455026454,0.0,0,200,
RandomForest,poisoned,poison+evasion,LabelFlip(0.05) + HSJ,0,0.9388235294117647,0.955,0.28,0.6749999999999999,0.7486910994764397,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.05) + Boundary,0,0.9388235294117647,0.955,0.725,0.22999999999999998,0.2617801047120419,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.05) + ZOO,0,0.9388235294117647,0.955,0.935,0.019999999999999907,0.020942408376963352,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.1) + HSJ,0,0.9364705882352942,0.93,0.1,0.8300000000000001,0.956989247311828,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.1) + Boundary,0,0.9364705882352942,0.93,0.2,0.73,0.8387096774193549,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.1) + ZOO,0,0.9364705882352942,0.93,0.905,0.025000000000000022,0.026881720430107527,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.2) + HSJ,0,0.9129411764705883,0.905,0.78,0.125,0.19337016574585636,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.2) + Boundary,0,0.9129411764705883,0.905,0.78,0.125,0.19337016574585636,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
RandomForest,poisoned,poison+evasion,LabelFlip(0.2) + ZOO,0,0.9129411764705883,0.905,0.88,0.025000000000000022,0.027624309392265192,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
RandomForest,advtrain,evasion,HSJ,0,0.9505882352941176,0.945,0.72,0.22499999999999998,0.25925925925925924,0.0,0,200,
RandomForest,advtrain,evasion,Boundary,0,0.9505882352941176,0.945,0.785,0.15999999999999992,0.18518518518518517,0.0,0,200,
RandomForest,advtrain,evasion,ZOO,0,0.9505882352941176,0.945,0.935,0.009999999999999898,0.010582010582010581,0.0,0,200,
RandomForest,advtrain,evasion,HSJ,1,0.9458823529411765,0.935,0.805,0.13,0.1497326203208556,0.0,500,200,
RandomForest,advtrain,evasion,Boundary,1,0.9458823529411765,0.935,0.805,0.13,0.1497326203208556,0.0,500,200,
RandomForest,advtrain,evasion,ZOO,1,0.9458823529411765,0.935,0.86,0.07500000000000007,0.08021390374331551,0.0,500,200,
RandomForest,advtrain,evasion,HSJ,2,0.8164705882352942,0.815,0.79,0.02499999999999991,0.2147239263803681,0.0,1000,200,
RandomForest,advtrain,evasion,Boundary,2,0.8164705882352942,0.815,0.79,0.02499999999999991,0.2147239263803681,0.0,1000,200,
RandomForest,advtrain,evasion,ZOO,2,0.8164705882352942,0.815,0.65,0.16499999999999992,0.20245398773006135,0.0,1000,200,
SVM,baseline,evasion,HSJ,0,0.9247058823529412,0.905,0.095,0.81,1.0,0.0,0,200,
SVM,baseline,evasion,Boundary,0,0.9247058823529412,0.905,0.495,0.41000000000000003,0.4972375690607735,0.0,0,200,
SVM,baseline,evasion,ZOO,0,0.9247058823529412,0.905,0.365,0.54,0.5966850828729282,0.0,0,200,
