model_eval,threshold,acc,f1,pred_0,pred_1
clean_model_on_clean_test,0.43,0.9105882352941177,0.7912087912087912,330,95
clean_model_on_adv_test,0.43,0.09647058823529411,0.1111111111111111,80,345
clean_model_on_combined_test,0.43,0.5035294117647059,0.3127035830618892,410,440
adv_trained_model_on_clean_test,0.5,0.7835294117647059,0.3783783783783784,364,61
adv_trained_model_on_adv_test,0.5,0.6870588235294117,0.2887700534759358,325,100
adv_trained_model_on_combined_test,0.5,0.7352941176470589,0.3283582089552239,689,161
