model_eval,acc,f1
clean_model_on_clean,0.8390894819466248,0.35331230283911674
clean_model_on_fgm,0.8430141287284144,0.46236559139784944
retrained_C+A_on_clean,0.8437990580847724,0.38390092879256965
retrained_C+A_on_fgm,0.8383045525902669,0.3941176470588235
adv_trained_on_clean,0.8846153846153846,0.6620689655172414
adv_trained_on_fgm,0.3665620094191523,0.38724373576309795
clean_model_on_C+A,0.8410518053375197,0.41219158200290273
retrained_C+A_on_C+A,0.8410518053375197,0.3891402714932127
adv_trained_on_C+A,0.6255886970172685,0.4554794520547945
